id,title,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,release_date,release_year,release_month,genres,budget_safe,runtime_safe,vote_count_safe,month_sin,month_cos,release_competition,log_budget,log_vote_count,popularity_score,vote_density,popularity_per_budget,budget_per_minute,hype_score,is_summer_release,is_holiday_release,is_sequel,is_hit,roi
581392,Peninsula,17000000,42698327,115,30.117,6.8,2164,ko,2020-07-15,2020,7,"Horror, Adventure, Action, Thriller",17000000,115,2164,-0.4999999999999997,-0.8660254037844388,780.0,16.648723960844016,7.68017564043659,204.7956,18.817391304347826,1.7715882352941177e-06,146551.72413793104,65173.188,1,0,0,1,1.5116662051961056
13597,Labyrinth,25000000,12729917,102,32.647,7.3,2164,en,1986-06-27,1986,6,"Adventure, Family, Fantasy",25000000,102,2164,1.2246467991473532e-16,-1.0,840.0,17.034386422832473,7.68017564043659,238.32309999999998,21.215686274509803,1.30588e-06,242718.44660194175,70648.108,1,0,0,1,-0.490803300367868
19898,Pandorum,33000000,20648328,108,27.11,6.559,2160,en,2009-09-08,2009,9,"Action, Horror, Mystery, Science Fiction, Thriller",33000000,108,2160,-1.0,-1.8369701987210297e-16,1076.0,17.312018149733785,7.6783263565068856,177.81449,20.0,8.215151515151515e-07,302752.29357798165,58557.6,0,0,0,1,-0.37429307956687635
8328,Step Up 2: The Streets,23000000,150816700,98,24.053,6.684,2160,en,2008-02-14,2008,2,"Music, Drama, Romance",23000000,98,2160,0.8660254037844386,0.5000000000000001,736.0,16.951004817371683,7.6783263565068856,160.770252,22.040816326530614,1.0457826086956523e-06,232323.2323232323,51954.48,0,0,1,1,5.557247584467496
9007,Just Like Heaven,58000000,102854431,95,20.619,6.932,2159,en,2005-09-16,2005,9,"Drama, Comedy, Romance, Fantasy",58000000,95,2159,-1.0,-1.8369701987210297e-16,1076.0,17.87595358575207,7.67786350067821,142.93090800000002,22.726315789473684,3.555e-07,604166.6666666666,44516.421,0,0,0,1,0.7733522452870303
12556,Ghosts of Girlfriends Past,37500000,102223269,115,18.383,5.954,2158,en,2009-05-01,2009,5,"Fantasy, Comedy, Romance",37500000,115,2158,0.49999999999999994,-0.8660254037844387,785.0,17.439851517607305,7.677400430514807,109.45238199999999,18.765217391304347,4.902133333333333e-07,323275.8620689655,39670.513999999996,1,0,0,1,1.7259537939745655
602269,The Little Things,30000000,29942746,128,37.106,6.329,2158,en,2021-01-28,2021,1,"Crime, Drama, Thriller",30000000,128,2158,0.49999999999999994,0.8660254037844387,692.0,17.216707972959764,7.677400430514807,234.843874,16.859375,1.2368666666666668e-06,232558.13953488372,80074.748,0,0,0,1,-0.0019084666030511133
132344,Before Midnight,3000000,11176469,109,14.361,7.513,2158,en,2013-04-05,2013,4,"Romance, Drama",3000000,109,2158,0.8660254037844387,-0.4999999999999998,774.0,14.914123179965662,7.677400430514807,107.894193,19.798165137614678,4.787e-06,27272.727272727272,30991.038,0,0,0,0,2.725488758170414
1429,25th Hour,5000000,23932055,135,14.086,7.332,2156,en,2002-12-19,2002,12,"Crime, Drama",5000000,135,2156,-2.4492935982947064e-16,1.0,1029.0,15.424948670398354,7.676473646389156,103.278552,15.97037037037037,2.8172e-06,36764.705882352944,30369.416,0,1,1,1,3.7864102427179516
332210,Storks,70000000,182379278,87,17.375,6.636,2156,en,2016-09-22,2016,9,"Adventure, Animation, Comedy, Family",70000000,87,2156,-1.0,-1.8369701987210297e-16,1076.0,18.064005814299346,7.676473646389156,115.3005,24.7816091954023,2.4821428571428574e-07,795454.5454545454,37460.5,0,0,0,1,1.605418234208311
